COUNTRY,DDATE,ZONES,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,AVG
Norway,12/13/2022,NO5,296.83,279.18,276.44,268.4,273.55,306.91,356.83,484.21,555.18,537.25,503.05,490.51,468.78,506.03,536.68,552.57,574.03,665.01,578.66,507.42,439.35,353.79,321.03,283.08,433.94875
Sweden,12/8/2022,NAT,295.72,280.78,269.67,269.91,275.49,299.79,328.43,391.4,402.15,387.04,366.805,348.545,330.655,323.15,338.09,342.35,349.745,369.28,365.875,367.14,355.545,317.41,304.42,286.015,331.891875
Sweden,12/8/2022,SE1,295.72,280.78,269.67,269.91,275.49,299.79,328.43,376.41,356.48,319.99,285.76,250.87,212.84,198.04,222.13,227.71,236.57,240.35,272.48,280.26,277.18,281.9,288.41,285.77,276.3725
Sweden,12/8/2022,SE2,295.72,280.78,269.67,269.91,275.49,299.79,328.43,376.41,356.48,319.99,285.76,250.87,212.84,198.04,222.13,227.71,236.57,240.35,272.48,280.26,277.18,281.9,288.41,285.77,276.3725
Sweden,12/8/2022,SE3,295.72,280.78,269.67,269.91,275.49,299.79,328.43,406.39,447.82,454.09,447.85,446.22,448.47,448.26,454.05,456.99,462.92,498.21,459.27,454.02,433.91,352.92,320.43,286.26,387.41125
Sweden,12/8/2022,SE4,295.72,280.78,269.67,269.91,275.49,299.79,328.43,406.39,447.82,454.09,447.85,446.22,448.47,448.26,454.05,456.99,462.92,498.21,459.27,454.02,433.91,352.92,320.43,286.26,387.41125
Sweden,12/9/2022,NAT,325.99,299.07,293.01,289.23,294.61,310.59,339.335,376.185,393.27,397.325,395.725,402.495,406.71,395.585,392.245,386.275,376.765,400.32,394.895,385.72,377.31,318.745,302.735,288.26,355.9333333
Sweden,12/9/2022,SE1,325.99,299.07,293.01,289.23,294.61,310.59,319.9,296.99,312.25,319.95,320.12,320.83,332.32,321.17,308.05,298.64,290.05,292.73,316.35,319.93,314.62,261.49,275.55,267.89,304.2220833
Sweden,12/9/2022,SE2,325.99,299.07,293.01,289.23,294.61,310.59,319.9,296.99,312.25,319.95,320.12,320.83,332.32,321.17,308.05,298.64,290.05,292.73,316.35,319.93,314.62,261.49,275.55,267.89,304.2220833
Sweden,12/9/2022,SE3,325.99,299.07,293.01,289.23,294.61,310.59,358.77,455.38,474.29,474.7,471.33,484.16,481.1,470,476.44,473.91,463.48,507.91,473.44,451.51,440,376,329.92,308.63,407.6445833
Sweden,12/9/2022,SE4,325.99,299.07,293.01,289.23,294.61,310.59,358.77,455.38,474.29,474.7,471.33,484.16,481.1,470,476.44,473.91,463.48,507.91,473.44,451.51,440,376,329.92,308.63,407.6445833
Sweden,12/10/2022,NAT,279.025,273.235,265.82,258.16,259.805,262.515,259.485,257.99,281.99,310.885,322.265,318.875,311.845,299.585,300.045,311.205,327.615,343.48,336.935,330.4,303.96,281.975,285.605,268.59,293.80375
Sweden,12/10/2022,SE1,255.26,249.96,249.28,237.49,242.88,244.77,230.08,209.93,219.88,225.16,225.2,225.37,225.59,223.27,223.02,228.91,234.64,237.04,231.17,240.08,246.77,240.07,263.56,251.9,235.8866667
Sweden,12/10/2022,SE2,255.26,249.96,249.28,237.49,242.88,244.77,230.08,209.93,219.88,225.16,225.2,225.37,225.59,223.27,223.02,228.91,234.64,237.04,231.17,240.08,246.77,240.07,263.56,251.9,235.8866667
Sweden,12/10/2022,SE3,302.79,296.51,282.36,278.83,276.73,280.26,288.89,306.05,344.1,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,420.72,361.15,323.88,307.65,285.28,351.7208333
Sweden,12/10/2022,SE4,302.79,296.51,282.36,278.83,276.73,280.26,288.89,306.05,344.1,396.61,419.33,412.38,398.1,375.9,377.07,393.5,420.59,449.92,442.7,420.72,361.15,323.88,307.65,285.28,351.7208333
Sweden,12/11/2022,NAT,296.09,270.6,264.42,250.98,246.985,250.915,253.845,242.305,249.53,272.355,282.065,293.875,298.9,288.215,290.82,291.415,306.675,332.485,340.865,326.565,310.45,284.73,286.875,273.04,283.5416667
Sweden,12/11/2022,SE1,291.62,253.22,240.76,229.44,225.55,232.59,226.71,204.88,205.97,224.62,237.58,242.56,250.09,251.69,253.33,246.32,251.75,251.03,251.68,240.39,236.92,234.11,249.9,239.83,240.5225
Sweden,12/11/2022,SE2,291.62,253.22,240.76,229.44,225.55,232.59,226.71,204.88,205.97,224.62,237.58,242.56,250.09,251.69,253.33,246.32,251.75,251.03,251.68,240.39,236.92,234.11,249.9,239.83,240.5225
Sweden,12/11/2022,SE3,300.56,287.98,288.08,272.52,268.42,269.24,280.98,279.73,293.09,320.09,326.55,345.19,347.71,324.74,328.31,336.51,361.6,413.94,430.05,412.74,383.98,335.35,323.85,306.25,326.5608333
Sweden,12/11/2022,SE4,300.56,287.98,288.08,272.52,268.42,269.24,280.98,279.73,293.09,320.09,326.55,345.19,347.71,324.74,328.31,336.51,361.6,413.94,430.05,412.74,383.98,335.35,323.85,306.25,326.5608333
Sweden,12/12/2022,NAT,259.88,241.685,240,240,240,271,324.96,418.225,462.94,428.935,429.28,406.83,402.87,399.925,407.085,421.245,419.2675,434.725,417.6475,392.44,392.085,319.1575,295.665,199.99,352.7432292
Sweden,12/12/2022,SE1,239.58,240.96,240,240,240,265.1,267.1,331.45,393.75,356.22,353.09,316.31,315.79,317.05,315.47,315.19,294.79,296.94,292,290.31,310.38,240.66,252.63,199.99,288.5316667
